en_td,energy_eV,f_boltzmann,f_maxwell,ratio_boltzmann_to_maxwell
5.0,10.136408593604926,0.006276641838365742,0.013120310594906228,0.47839125399992877
5.0,10.319039241098793,0.005228259433463165,0.012638755887188272,0.4136688357722755
5.0,10.503300519373854,0.004298557037339865,0.012170811526285429,0.35318573688009436
5.0,10.689192428430111,0.0034825657425235994,0.011716280225133335,0.2972415882519545
5.0,10.876714968267565,0.0027693091667170973,0.011274958851479593,0.24561590008407752
5.0,11.065868138886213,0.002148952127345913,0.010846638912270085,0.19812147751272013
5.0,11.256651940286059,0.0016163800627418629,0.010431107028647519,0.15495767211502193
5.0,11.449066372467097,0.0011629052295755392,0.010028145400982713,0.11596413724332116
5.0,11.64311143542933,0.0007799465101712358,0.009637532263403597,0.08092803104098656
5.0,11.838787129172758,0.0004821072777440253,0.009259042327331674,0.05206880589808923
5.0,12.036093453697381,0.00027679290236887823,0.008892447213579633,0.031126741123207177
5.0,12.235030409003201,0.00014834258837270056,0.00853751587260715,0.017375380682882448
5.0,12.435597995090218,7.45435970588522e-05,0.008194014992575082,0.009097322512394604
5.0,12.637796211958428,3.520775686165188e-05,0.007861709394880146,0.004478384419116351
5.0,12.841625059607832,1.5557828454349705e-05,0.007540362416893545,0.0020632733009614637
5.0,13.047084538038435,6.2587645172250245e-06,0.007229736281667457,0.00086569748513448
5.0,13.254174647250231,2.2380559359266326e-06,0.006929592454412521,0.0003229707880586134
5.0,13.46289538724322,7.28930578075337e-07,0.006639691985587845,0.00010978379413646868
5.0,13.673246758017406,2.1738100877815393e-07,0.00635979584048214,3.418050110892776e-05
5.0,13.885228759572787,5.920642301859535e-08,0.006089665215200536,9.722443012270856e-06
5.0,14.098841391909366,1.4600946696391409e-08,0.005829061839006246,2.5048536281921853e-06
5.0,14.314084655027138,3.3314603998575803e-09,0.005577748262999658,5.972769373542781e-07
5.0,14.530958548926105,7.110553560288574e-10,0.005335488135149274,1.3326903518809226e-07
5.0,14.749463073606268,1.4221888632279257e-10,0.005102046461719673,2.787487087580479e-08
5.0,14.969598229067625,2.6612229010357206e-11,0.004877189855170685,5.4564677202679594e-09
5.0,15.191364015310176,4.656574096467152e-12,0.004660686768629728,9.991175823721393e-10
5.0,15.414760432333924,7.598710530740317e-13,0.0044523077170654955,1.7066903308625324e-10
5.0,15.639787480138867,1.147530349157158e-13,0.004251825485315943,2.6989121569553035e-11
5.0,15.866445158725007,1.543360084471264e-14,0.004059015323146705,3.802301695364855e-12
5.0,16.09473346809234,1.850257169158036e-15,0.00387365512753801,4.776514966457557e-13
5.0,16.324652408240873,2.0086762312407904e-16,0.003695525612418215,5.4354277088243126e-14
5.0,16.556201979170595,2.1643733415652955e-17,0.0035244104660811337,6.141093276152672e-15
5.0,16.789382180881514,3.698827040830465e-18,0.0033600964965414034,1.100809766814055e-15
5.0,17.024193013373633,-9.956014740562744e-19,0.0032023737650982453,-3.1089483835617497e-16
5.0,17.260634476646942,1.786940613583708e-18,0.0030510357083922326,5.856832840954688e-16
5.0,17.498706570701444,3.902921763656142e-18,0.0029058792492527856,1.3431121629227143e-15
5.0,17.738409295537146,2.1741214421170842e-17,0.0027667048966457685,7.858161688125443e-15
5.0,17.97974265115404,1.7450710318178653e-17,0.0026333168350408417,6.626893538205021e-15
5.0,18.222706637552132,-6.714721842812307e-18,0.002505523003527141,-2.679968147711947e-15
5.0,18.467301254731417,-5.203544442281691e-18,0.002383135165013649,-2.18348691197794e-15
5.0,18.7135265026919,-3.2997475467545465e-18,0.0022659689658569675,-1.456219214152659e-15
5.0,18.96138238143358,-7.68243945521931e-18,0.0021538439862645114,-3.566850479520218e-15
5.0,19.21086889095645,-3.585446703877883e-18,0.0020465837818251977,-1.7519178719770204e-15
5.0,19.461986031260516,1.0984112052757732e-18,0.0019440159165226407,5.6502171404057055e-16
5.0,19.714733802345783,1.2690653818376447e-17,0.0018459719875878258,6.87478136380586e-15
5.0,19.969112204212237,1.306758014010561e-17,0.0017522876425490677,7.457440104466006e-15
5.0,20.22512123685989,-3.298264759265133e-17,0.0016628025888368865,-1.9835576281921932e-14
5.0,20.48276090028874,-1.619932345734209e-17,0.0015773605963005986,-1.0269892309554673e-14
5.0,20.74203119449878,-5.047367460056393e-18,0.0014958094929912677,-3.3743384326053735e-15
5.0,21.002932119490023,7.802052320556639e-17,0.0014180011545631371,5.502148073328137e-14
5.0,21.265463675262453,9.703752283754457e-18,0.0013437914876420582,7.221174098060082e-15
5.0,21.529625861816083,5.2592152394810186e-18,0.0012730404075051685,4.131224121776092e-15
5.0,21.795418679150906,-3.059378020156946e-19,0.0012056118104112811,-2.537614507204664e-16
5.0,22.062842127266926,1.8214601819125794e-17,0.0011413735409157744,1.595849313670914e-14
5.0,22.331896206164146,-6.071533939708598e-17,0.0010801973544977634,-5.6207635710527646e-14
5.0,22.60258091584255,-2.9265461199011836e-17,0.001021958875820609,-2.863663293252613e-14
5.0,22.874896256302158,-1.5612515844964967e-17,0.0009665375529397553,-1.6153035955487702e-14
5.0,23.14884222754296,-6.505214935402069e-18,0.0009138166077642982,-7.118731351706803e-15
5.0,23.424418829564956,-2.8699679878849492e-18,0.0008636829830707113,-3.3229414543761826e-15
5.0,23.70162606236815,9.49649633783285e-18,0.000816027286358901,1.1637474011691503e-14
5.0,23.980463925952535,-3.106228213567095e-18,0.0007707437308321268,-4.030169937565996e-15
5.0,24.260932420318117,-4.3615317774713066e-18,0.0007277300737734637,-5.993337275256011e-15
5.0,24.543031545464892,-8.654714921628658e-19,0.0006868875525824087,-1.259990065199255e-15
5.0,24.826761301392864,6.93889593109554e-18,0.000648120818725942,1.0706176580989683e-14
5.0,25.11212168810203,1.7780920823432322e-17,0.0006113378698489704,2.908525988717999e-14
5.0,25.399112705592394,8.200975391219118e-18,0.0005764499802795108,1.4226690383860546e-14
5.0,25.687734353863952,-1.1314146529228069e-17,0.0005433716301544234,-2.0822114923468947e-14
5.0,25.977986632916704,-4.987331450474919e-18,0.0005120204333818021,-9.740493006371834e-15
5.0,26.26986954275065,0.0,0.0004823170646465259,0.0
