energy_eV,eedf
13.682861948443815,0.007068463447779346
13.936237519032964,0.006406587363467685
14.19193763614128,0.005781586773736094
14.44996229976876,0.0051943859800149495
14.71031150991541,0.004645676780670107
14.972985266581224,0.004135723859587604
15.237983569766204,0.0036654032545751086
15.505306419470354,0.0032337902670337296
15.774953815693667,0.0028398896504483882
16.04692575843615,0.0024819238100972736
16.321222247697797,0.0021573258906619503
16.59784328347861,0.0018642844784278769
16.876788865778593,0.0016029453573295725
17.158058994597738,0.0013724534095475166
17.441653669936045,0.0011704306605141933
17.72757289179353,0.0009944467749140391
18.015816660170174,0.0008419367514610421
18.30638497506599,0.000709616066016462
18.599277836480965,0.0005954924640237596
18.89449524441511,0.0004974012681941172
19.192037198868427,0.0004135656169390667
19.491903699840904,0.00034232813826151067
19.794094747332544,0.0002821729644277525
20.09861034134336,0.0002316651843056374
20.405450481873338,0.00018943654663437619
20.71461516892248,0.00015432520244444085
21.02610440249079,0.00012526425802396275
21.339918182578266,0.00010131040556622574
21.656056509184914,8.164719870090228e-05
21.974519382310724,6.557151967341541e-05
22.2953068019557,5.2487275370403266e-05
22.618418768119845,4.1881465674808435e-05
22.943855280803156,3.331396219094223e-05
23.27161634000563,2.641918602286989e-05
23.601701945727278,2.0890268951500456e-05
23.934112097968086,1.6471804781769423e-05
24.26884679672806,1.2952626773352222e-05
24.605906042007206,1.0159653294347532e-05
24.945289833805514,7.949488611688522e-06
25.28699817212299,6.20181178861535e-06
25.63103105695963,4.824870905188923e-06
25.977388488315437,3.7421283391290867e-06
26.326070466190416,2.893384918048269e-06
26.677076990584556,2.2304944300981465e-06
27.030408061497862,1.7144544922343521e-06
27.38606367893034,1.313977521327191e-06
27.74404384288198,1.0041081866994687e-06
28.104348553352786,7.650845661298102e-07
28.46697781034276,5.812678605702569e-07
28.831931613851904,4.403604224040232e-07
29.199209963880207,3.3270474347321873e-07
29.56881286042768,2.507381309097006e-07
29.94074030349432,1.884589276796357e-07
30.31499229308013,1.4127063851086686e-07
30.6915688291851,1.0566154830459782e-07
31.07046991180924,7.882700009996036e-08
31.45169554095255,5.864580663691966e-08
