en_td,energy_eV,eedf
1.5,11.517706173918391,2.9746999671514536e-15
1.5,11.668261229687808,1.0685896708207188e-15
1.5,11.819793915689493,5.883965243043872e-16
1.5,11.972304231923445,6.281867443927805e-16
1.5,12.12579217838967,1.3682038616864083e-16
1.5,12.280257755088162,1.0011196186091375e-17
1.5,12.435700962018924,-1.5915422253185896e-17
1.5,12.592121799181953,-3.760826319662508e-17
1.5,12.749520266577253,-4.3303532938988966e-17
1.5,12.90789636420482,-1.1197008928733026e-17
1.5,13.067250092064656,-1.6317242842787963e-17
1.5,13.22758145015676,-1.1552402217562622e-17
1.5,13.388890438481134,-1.0836306843702075e-17
1.5,13.551177057037778,-4.8572257764578124e-17
1.5,13.71444130582669,2.9764554467110623e-18
1.5,13.878683184847871,1.6067052291124952e-16
1.5,14.04390269410132,1.945785939365221e-16
1.5,14.21009983358704,9.755651235840936e-16
1.5,14.377274603305029,1.0961677073182067e-16
1.5,14.545427003255284,2.699705785437912e-17
1.5,14.71455703343781,4.948697394650786e-18
1.5,14.884664693852605,0.0
1.5,15.055749984499668,-2.587000099990415e-17
1.5,15.227812905379,-6.938893966368303e-18
1.5,15.400853456490601,-2.775557586547321e-17
1.5,15.574871637834473,1.1604203689045321e-17
1.5,15.749867449410612,3.4694469831841515e-17
1.5,15.92584089121902,-5.4864157725430386e-17
1.5,16.102791963259698,-1.484038665195658e-17
1.5,16.28072066553264,-1.3877787932736605e-17
1.5,16.45962699803786,5.551115173094642e-17
1.5,16.63951096077534,-1.3877787932736605e-17
1.5,16.820372553745095,-1.945802319127255e-17
1.5,17.002211776947114,3.753880649432501e-17
1.5,17.185028630381407,-6.938893966368303e-18
1.5,17.368823114047967,2.775557586547321e-17
1.5,17.553595227946793,-5.72458752225385e-17
1.5,17.739344972077895,-1.0202342534925896e-16
1.5,17.92607234644126,-6.938893966368303e-18
1.5,18.113777351036898,-5.2041704747762274e-18
1.5,18.302459985864807,1.2143064441144531e-17
1.5,18.492120250924977,1.9460546996796404e-17
1.5,18.682758146217424,1.0408340949552455e-17
1.5,18.874373671742134,4.336691720302012e-18
1.5,19.066966827499115,-2.755043216160098e-19
1.5,19.26053761348836,-5.460395387489265e-20
1.5,19.455086029709882,0.0
1.5,19.650612076163668,6.938893966368303e-18
1.5,19.847115752849724,1.3877787932736605e-17
1.5,20.044597059768044,1.0113241561743315e-18
1.5,20.243055996918642,-4.286510476285828e-18
1.5,20.442492564301503,2.6621428790824445e-18
1.5,20.642906761916635,3.72525367640119e-18
1.5,20.844298589764037,2.9080149865701333e-18
1.5,21.046668047843703,7.84377435034079e-19
1.5,21.250015136155643,5.765429246570565e-19
1.5,21.45433985469985,1.458130839511892e-19
1.5,21.659642203476327,-3.760826319662508e-19
1.5,21.865922182485072,-9.777274928387803e-21
1.5,22.073179791726083,-2.0003130620757928e-23
1.5,22.28141503119937,6.3527471615920745e-22
1.5,22.49062790090492,8.250229827167254e-21
1.5,22.700818400842742,1.787993873974039e-21
1.5,22.91198653101283,4.468366878582823e-22
1.5,23.12413229141519,1.8421894018750455e-22
1.5,23.33725568204982,1.6216921774040113e-23
1.5,23.551356702916713,7.754592025423648e-24
1.5,23.766435354015883,5.428371433296057e-25
1.5,23.982491635347316,4.7045897762441305e-24
1.5,24.19952554691102,4.611075092627259e-23
1.5,24.41753708870699,3.0376216496238255e-21
1.5,24.63652626073523,2.1686022686526486e-19
1.5,24.856493062995742,-2.6898417357857895e-19
1.5,25.07743749548852,0.0
1.5,25.299359558213567,7.926807525893752e-18
1.5,25.522259251170887,9.960997215018593e-18
1.5,25.74613657436047,1.0408340949552455e-17
1.5,25.970991527782328,-3.623847186502991e-19
1.5,26.19682411143645,-8.23993658506236e-18
1.5,26.423634325322844,-2.228362177007768e-17
1.5,26.651422169441503,-2.589265680830568e-17
1.5,26.88018764379244,3.252606546735142e-19
1.5,27.109930748375646,1.7360566055257575e-17
1.5,27.34065148319111,3.8176394756657156e-17
1.5,27.57234984823885,-2.152501758089906e-19
1.5,27.805025843518855,-7.215472028840399e-21
1.5,28.03867946903113,1.3186452846206838e-19
1.5,28.273310724775676,8.456777021511275e-18
1.5,28.50891961075249,1.0311919675220566e-17
1.5,28.745506126961573,1.2419213849690117e-18
1.5,28.983070273402923,-3.3203691831254575e-19
1.5,29.221612050076544,2.7105054556126184e-19
1.5,29.46113145698243,1.355252727806309e-20
1.5,29.70162849412059,-2.3653145243200604e-17
1.5,29.943103161491017,7.047314184592808e-19
1.5,30.185555459093713,1.710391463170885e-19
1.5,30.428985386928673,-4.150461478906822e-20
1.5,30.67339294499591,2.409843872003153e-22
1.5,30.91877813329541,5.242175705110667e-23
1.5,31.165140951827183,6.269577356739109e-25
1.5,31.412481400591226,1.1642296804982897e-26
1.5,31.66079947958753,-7.798228727879935e-26
1.5,31.91009518881611,-1.0670638341592177e-23
1.5,32.16036852827696,-1.5318724580475763e-21
1.5,32.41161949797008,-2.3440229800853774e-21
1.5,32.66384809789546,7.596826814070522e-21
1.5,32.91705432805311,4.559186932884937e-24
1.5,33.171238188443034,2.1792353217699756e-27
1.5,33.42639967906523,-7.164878945512232e-30
1.5,33.68253879991969,-4.479183563606968e-27
1.5,33.939655551006425,-1.7964079681147e-24
1.5,34.19774993232542,-2.257164131001435e-24
1.5,34.45682194387669,-2.367032497849259e-24
1.5,34.71687158566022,2.0194839355443555e-27
1.5,34.977898857676024,1.7463064121915765e-30
1.5,35.239903759924104,-4.0246532611498676e-29
1.5,35.50288629240445,-1.1648997538554943e-26
1.5,35.76684645511706,-2.1111921706526174e-24
1.5,36.03178424806194,-7.577847597969689e-22
1.5,36.29769967123909,-9.713935218921877e-22
1.5,36.564592724648506,-4.623489271119557e-25
1.5,36.832463408290195,-2.086372112210635e-28
1.5,37.101311722164155,-2.271185673662755e-31
1.5,37.37113766627038,-3.671064885238219e-33
1.5,37.64194124060888,-8.374062768688646e-34
1.5,37.913722445179644,2.868456034376595e-34
1.5,38.18648127998268,5.441153423138081e-34
1.5,38.460217745017985,1.4306750647125857e-31
1.5,38.734931840285554,2.1222387615289155e-29
1.5,39.010623565785394,3.713579570887772e-27
1.5,39.287292921517505,1.4037683219154264e-24
1.5,39.56493990748188,5.473085016653454e-22
1.5,39.84356452367852,2.260075788193258e-19
1.5,40.12316677010744,1.544779747907562e-22
1.5,40.403746646768624,-4.582059272772158e-22
1.5,40.685304153662074,-1.2355454331471643e-23
1.5,40.96783929078779,-5.374250006350923e-27
1.5,41.251352058145784,-2.0713970235803564e-30
1.5,41.535842455736045,-1.229022902907707e-33
1.5,41.82131048355858,3.96690041664318e-33
1.5,42.10775614161338,5.160213179183564e-31
1.5,42.395179429900445,5.4429876938316335e-31
1.5,42.68358034841978,3.137131486200557e-34
1.5,42.97295889717138,5.597659295457906e-37
1.5,43.26331507615525,7.51890842742566e-38
1.5,43.55464888537139,3.192755127512747e-39
1.5,43.846960324819804,1.0087814455625809e-42
2.0,0.0002782136054692244,0.12989744705704656
2.0,0.001391068027346122,0.12989744030566125
2.0,0.0036167768710999165,0.12989739671821002
2.0,0.0069553401367306086,0.12989728714089407
2.0,0.0114067578242382,0.12989709283534936
2.0,0.016971029933622685,0.12989681128349823
2.0,0.023648156464884072,0.12989647736791596
2.0,0.03143813741802236,0.129896064710155
2.0,0.040340972793037534,0.12989562398755966
